,Rank (2017),City,Counties,State,Mayor,Nickname,Population Estimate (2017),2010 Census,Change,2016 Land Area (sq mi),2016 Population Density (per sq mi),"Location (N,W)"
179,180.0,Paterson,Passaic,New Jersey,Andre Sayegh,The Silk City,145627,146199,-0.39%,8.4,17500,"(40.9148, 74.1628)"
180,181.0,Torrance,Los Angeles,California,Patrick J. Furey George K. Chen Milton S. Herring,None,145182,145438,-0.18%,20.5,7180,"(33.8350, 118.3414)"
181,182.0,Bridgeport,Fairfield,Connecticut,Joe Ganim , The Park City,144900,144229,+0.47%,16.1,9064,"(41.1874, 73.1958)"
182,183.0,McAllen,Hidalgo,Texas,Jim Darling,""" The City of Palms""",143433,129877,+10.44%,58.4,2435,"(26.2322, 98.2464)"
183,184.0,Mesquite,"Dallas, Kaufman",Texas,Stan Pickett,Rodeo Capital of Texas,142816,139824,+2.14%,47.2,3045,"(32.7629, 96.5888)"
184,185.0,Syracuse,Onondaga,New York,Ben Walsh ,The 'Cuse,142749,145170,-1.67%,25.0,5735,"(43.0410, 76.1436)"
185,186.0,Midland,"Midland, Martin",Texas,Jerry Morales,"""The Tall City""",142344,111147,+28.07%,74.4,1809,"(32.0246, 102.1135)"
186,187.0,Pasadena,Los Angeles,California,Terry Tornek,City of Roses,141371,137122,+3.10%,23.0,6176,"(34.1606, 118.1396)"
187,188.0,Murfreesboro,Rutherford,Tennessee,Shane McFarland ,"""The 'Boro""",141344,108755,+29.97%,55.9,2360,"(35.8522, 86.4160)"
188,189.0,Miramar,Broward,Florida,Wayne M. Messam,None,140823,122041,+15.39%,29.4,4709,"(25.9770, 80.3358)"
189,190.0,Dayton,Montgomery,Ohio,Nan Whaley ,The Gem City,140640,141527,-0.63%,55.7,2522,"(39.7774, 84.1996)"
190,191.0,Fullerton,Orange,California,Jesus Silva,None,139640,135161,+3.31%,22.4,6282,"(33.8857, 117.9280)"
191,192.0,Olathe,Johnson,Kansas,Michael Copeland,None,139605,125872,+10.91%,60.9,2225,"(38.8843, 94.8195)"
192,193.0,Orange,Orange,California,Mark A. Murphy,None,139484,136416,+2.25%,25.4,5532,"(33.7870, 117.8613)"
